n,p,lambda,rho,S
100000,5e-05,6.5,4,0.00399
100000,5e-05,2.9,4,0.00405
100000,5e-05,4.6,4,0.00344
100000,5e-05,8.1,4,0.0045
100000,5e-05,9.0,4,0.00446
100000,5e-05,3.1,4,0.00298
100000,5e-05,5.8,4,0.00357
100000,5e-05,0.7,4,0.99999
100000,5e-05,0.7,4,0.99999
100000,5e-05,3.4,4,0.00312
100000,5e-05,6.5,4,0.00428
100000,5e-05,5.9,4,0.00355
100000,5e-05,1.5,4,0.99999
100000,5e-05,3.3,4,0.0034
100000,5e-05,0.9,4,0.99999
100000,5e-05,1.8,4,0.01021
100000,5e-05,9.8,4,0.00458
100000,5e-05,5.0,4,0.0032
100000,5e-05,2.6,4,0.00399
100000,5e-05,7.7,4,0.0042
100000,5e-05,7.1,4,0.00401
100000,5e-05,8.9,4,0.00429
100000,5e-05,4.0,4,0.00349
100000,5e-05,9.8,4,0.0047
100000,5e-05,7.9,4,0.00464
100000,5e-05,8.4,4,0.00424
100000,5e-05,6.0,4,0.00409
100000,5e-05,4.9,4,0.00325
100000,5e-05,0.7,4,0.99999
100000,5e-05,7.2,4,0.00381
100000,5e-05,6.9,4,0.00401
100000,5e-05,4.3,4,0.00324
100000,5e-05,8.9,4,0.00443
