n,p,lambda,rho,s,i,r,t,mu
10000,0.0005,2,3,9900,80,20,0.9911407639475045,4.9936363636360666
10000,0.0005,2,3,9899,81,20,0.992021821216227,4.993737373737077
10000,0.0005,2,3,9899,81,20,0.9928944215652671,4.993837761390058
10000,0.0005,2,3,9899,81,20,0.9937708457545747,4.99393878169514
10000,0.0005,2,3,9898,82,20,0.9946511274447156,4.99403980200022
10000,0.0005,2,3,9898,82,20,0.9955007451167632,4.9935340472820515
10000,0.0005,2,3,9898,82,20,0.9963539874375823,4.993635077793265
10000,0.0005,2,3,9898,82,20,0.9972108854667169,4.99373610830448
10000,0.0005,2,3,9897,83,20,0.9980714706646515,4.993837138815695
10000,0.0005,2,3,9897,82,21,0.9989096936319608,4.9935333939581685
10000,0.0005,2,3,9897,82,21,0.9997629359527799,4.9935333939581685
10000,0.0005,2,3,9897,82,21,1.0006198339819143,4.9936344346775785
10000,0.0005,2,3,9897,82,21,1.001480419179849,4.9937354753969885
10000,0.0005,2,3,9896,83,21,1.0023447234149396,4.9938365161163984
10000,0.0005,2,3,9896,83,21,1.0031972383339507,4.99383589329015
10000,0.0005,2,3,9896,82,22,1.0040534027175123,4.9939369442198185
10000,0.0005,2,3,9895,83,22,1.0049367949436607,4.9939369442198185
10000,0.0005,2,3,9895,82,23,1.0058078750830335,4.993936331481067
10000,0.0005,2,3,9894,83,23,1.0066797146645505,4.993936331481067
10000,0.0005,2,3,9893,84,23,1.0075470173531889,4.994137861330082
10000,0.0005,2,3,9893,84,23,1.0084024493463455,4.994137268776419
10000,0.0005,2,3,9892,85,23,1.009261555875555,4.9942383503492485
10000,0.0005,2,3,9892,85,23,1.0100948892088883,4.993833400728314
10000,0.0005,2,3,9891,86,23,1.0109317092925703,4.99393449251966
10000,0.0005,2,3,9891,85,24,1.011764348759681,4.994136083308331
10000,0.0005,2,3,9891,85,24,1.0126118063867997,4.994136083308331
10000,0.0005,2,3,9891,85,24,1.0134628702165869,4.9942371853202605
10000,0.0005,2,3,9891,85,24,1.0143175710712877,4.994338287332191
10000,0.0005,2,3,9891,85,24,1.0151759401700002,4.994439389344121
10000,0.0005,2,3,9891,85,24,1.0160380091355175,4.994540491356051
10000,0.0005,2,3,9890,86,24,1.0169038100013184,4.99464159336798
10000,0.0005,2,3,9890,86,24,1.0177541501373728,4.994539939332703
10000,0.0005,2,3,9890,85,25,1.01860812110236,4.994641051567283
10000,0.0005,2,3,9890,85,25,1.019462821957061,4.994641051567283
10000,0.0005,2,3,9890,85,25,1.0203211910557735,4.994742163801863
10000,0.0005,2,3,9889,86,25,1.0211832600212907,4.994843276036444
10000,0.0005,2,3,9889,86,25,1.0220336001573451,4.994842754575867
10000,0.0005,2,3,9888,87,25,1.0228875711223324,4.9949438770351655
10000,0.0005,2,3,9887,88,25,1.023730031105483,4.994943365696039
10000,0.0005,2,3,9887,88,25,1.0245510491678804,4.9944371396784915
10000,0.0005,2,3,9886,89,25,1.0253754514762068,4.99453828259343
10000,0.0005,2,3,9886,89,25,1.0261891211263288,4.994537730123267
10000,0.0005,2,3,9885,90,25,1.027006114590381,4.99463888326913
10000,0.0005,2,3,9885,90,25,1.027802927339385,4.994334850784041
10000,0.0005,2,3,9885,90,25,1.0286029273393849,4.994436014162898
10000,0.0005,2,3,9885,90,25,1.0294061401907906,4.994537177541755
