n,p,lambda,rho,s,i,r,t,mu
10000,0.0005,2,0,2380,5602,2018,1.4586728011564838,3.5491183879092185
10000,0.0005,2,0,2379,5603,2018,1.458746908167007,3.5491183879092185
10000,0.0005,2,0,2378,5604,2018,1.4588210206697863,3.5491183879092185
10000,0.0005,2,0,2378,5603,2019,1.4588951276803095,3.5491183879092185
10000,0.0005,2,0,2377,5604,2019,1.4589692401830887,3.547939444911754
10000,0.0005,2,0,2376,5605,2019,1.4590433691675215,3.547939444911754
10000,0.0005,2,0,2376,5604,2020,1.4591174926572554,3.547939444911754
10000,0.0005,2,0,2375,5605,2020,1.4591916326335306,3.547939444911754
10000,0.0005,2,0,2375,5604,2021,1.4592657891036827,3.547939444911754
10000,0.0005,2,0,2375,5603,2022,1.4593399620750518,3.547939444911754
10000,0.0005,2,0,2374,5604,2022,1.4594141405484589,3.547939444911754
10000,0.0005,2,0,2374,5603,2023,1.4594883355328778,3.547939444911754
10000,0.0005,2,0,2373,5604,2023,1.459562536022601,3.547939444911754
10000,0.0005,2,0,2373,5603,2024,1.4596367530331398,3.547939444911754
10000,0.0005,2,0,2372,5604,2024,1.4597109755522522,3.5465655288664966
10000,0.0005,2,0,2372,5603,2025,1.459785192562791,3.5465655288664966
10000,0.0005,2,0,2371,5604,2025,1.4598594261015037,3.5465655288664966
10000,0.0005,2,0,2370,5605,2025,1.4599336982345994,3.5465655288664966
10000,0.0005,2,0,2370,5604,2026,1.4600079869204325,3.5465655288664966
10000,0.0005,2,0,2370,5603,2027,1.460082292166383,3.5465655288664966
10000,0.0005,2,0,2369,5604,2027,1.4601566139798352,3.5465655288664966
10000,0.0005,2,0,2368,5605,2027,1.4602309634222144,3.5465655288664966
10000,0.0005,2,0,2367,5606,2027,1.460305318392844,3.5465655288664966
10000,0.0005,2,0,2367,5605,2028,1.4603796567811878,3.5465655288664966
10000,0.0005,2,0,2367,5604,2029,1.4604540006961384,3.5458386142797336
10000,0.0005,2,0,2367,5603,2030,1.4605283501385176,3.5458386142797336
10000,0.0005,2,0,2366,5604,2030,1.4606027051091472,3.5458386142797336
10000,0.0005,2,0,2366,5603,2031,1.460677043497491,3.5458386142797336
10000,0.0005,2,0,2365,5604,2031,1.4607513874124416,3.5458386142797336
10000,0.0005,2,0,2364,5605,2031,1.4608257479121443,3.5458386142797336
10000,0.0005,2,0,2363,5606,2031,1.460900125004,3.5458386142797336
10000,0.0005,2,0,2363,5605,2032,1.4609744965643152,3.5458386142797336
10000,0.0005,2,0,2362,5606,2032,1.4610488847217205,3.5458386142797336
10000,0.0005,2,0,2361,5607,2032,1.4611233005574102,3.5458386142797336
10000,0.0005,2,0,2361,5606,2033,1.4611977219312289,3.5442609063955612
10000,0.0005,2,0,2361,5605,2034,1.4612721599243805,3.5442609063955612
10000,0.0005,2,0,2360,5606,2034,1.4613466034589595,3.5442609063955612
10000,0.0005,2,0,2360,5605,2035,1.461421052535791,3.5442609063955612
10000,0.0005,2,0,2359,5606,2035,1.4614955293362675,3.5442609063955612
10000,0.0005,2,0,2358,5607,2035,1.4615700005903633,3.5442609063955612
10000,0.0005,2,0,2358,5606,2036,1.46164447739084,3.5442609063955612
10000,0.0005,2,0,2357,5607,2036,1.4617189597385236,3.5442609063955612
10000,0.0005,2,0,2357,5606,2037,1.4617934587327872,3.5442609063955612
10000,0.0005,2,0,2357,5605,2038,1.4618679632775644,3.5442609063955612
10000,0.0005,2,0,2356,5606,2038,1.4619424733736823,3.5405176071276157
10000,0.0005,2,0,2355,5607,2038,1.4620169890219685,3.5405176071276157
10000,0.0005,2,0,2354,5608,2038,1.4620915102232503,3.5405176071276157
10000,0.0005,2,0,2353,5609,2038,1.4621660258715365,3.5405176071276157
10000,0.0005,2,0,2352,5610,2038,1.4622405470728184,3.5405176071276157
10000,0.0005,2,0,2351,5611,2038,1.4623151071682552,3.5405176071276157
10000,0.0005,2,0,2351,5610,2039,1.4623896728233146,3.5405176071276157
10000,0.0005,2,0,2350,5611,2039,1.462464266288927,3.5405176071276157
10000,0.0005,2,0,2350,5610,2040,1.4625388653191396,3.5405176071276157
10000,0.0005,2,0,2349,5611,2040,1.4626134699147826,3.5405176071276157
10000,0.0005,2,0,2349,5610,2041,1.4626880912117006,3.539804171988091
10000,0.0005,2,0,2349,5609,2042,1.462762729217373,3.539804171988091
10000,0.0005,2,0,2348,5610,2042,1.4628373839392843,3.539804171988091
10000,0.0005,2,0,2347,5611,2042,1.462912044234939,3.539804171988091
10000,0.0005,2,0,2347,5610,2043,1.4629867212568195,3.539804171988091
10000,0.0005,2,0,2346,5611,2043,1.4630614150124215,3.539804171988091
10000,0.0005,2,0,2345,5612,2043,1.4631361143475974,3.539804171988091
10000,0.0005,2,0,2344,5613,2043,1.4632108192631808,3.539804171988091
10000,0.0005,2,0,2344,5612,2044,1.4632855297600056,3.539804171988091
10000,0.0005,2,0,2344,5611,2045,1.4633602570055593,3.539804171988091
10000,0.0005,2,0,2343,5612,2045,1.4634350010073531,3.5383959044368662
10000,0.0005,2,0,2342,5613,2045,1.4635097394228986,3.5383959044368662
10000,0.0005,2,0,2341,5614,2045,1.463584472253031,3.5383959044368662
10000,0.0005,2,0,2341,5613,2046,1.4636591994985846,3.5383959044368662
10000,0.0005,2,0,2340,5614,2046,1.4637339435003784,3.5383959044368662
10000,0.0005,2,0,2340,5613,2047,1.4638087378160105,3.5383959044368662
10000,0.0005,2,0,2339,5614,2047,1.4638835377262507,3.5383959044368662
10000,0.0005,2,0,2338,5615,2047,1.4639583544253378,3.5383959044368662
10000,0.0005,2,0,2337,5616,2047,1.4640331879208104,3.5383959044368662
10000,0.0005,2,0,2336,5617,2047,1.4641080270167541,3.5383959044368662
10000,0.0005,2,0,2336,5616,2048,1.4641828829191421,3.5346746575341714
10000,0.0005,2,0,2335,5617,2048,1.4642577444253557,3.5346746575341714
10000,0.0005,2,0,2334,5618,2048,1.4643326451818535,3.5346746575341714
10000,0.0005,2,0,2334,5617,2049,1.464407585229815,3.5346746575341714
10000,0.0005,2,0,2334,5616,2050,1.4644825308942084,3.5346746575341714
10000,0.0005,2,0,2333,5617,2050,1.464557493412949,3.5346746575341714
10000,0.0005,2,0,2333,5616,2051,1.4646324503127317,3.5346746575341714
10000,0.0005,2,0,2332,5617,2051,1.464707424071916,3.5346746575341714
10000,0.0005,2,0,2331,5618,2051,1.4647824146980877,3.5346746575341714
10000,0.0005,2,0,2330,5619,2051,1.4648574221988377,3.5346746575341714
10000,0.0005,2,0,2329,5620,2051,1.4649324803689197,3.531330472103103
10000,0.0005,2,0,2329,5619,2052,1.4650075441731532,3.531330472103103
10000,0.0005,2,0,2328,5620,2052,1.465082636160838,3.531330472103103
10000,0.0005,2,0,2327,5621,2052,1.465157733787753,3.531330472103103
10000,0.0005,2,0,2326,5622,2052,1.4652328709130067,3.531330472103103
10000,0.0005,2,0,2325,5623,2052,1.465308036276807,3.531330472103103
10000,0.0005,2,0,2325,5622,2053,1.465383218593926,3.531330472103103
10000,0.0005,2,0,2325,5621,2054,1.4654584065638507,3.531330472103103
10000,0.0005,2,0,2324,5622,2054,1.46553363412723,3.531330472103103
10000,0.0005,2,0,2323,5623,2054,1.4656088560318488,3.531330472103103
10000,0.0005,2,0,2323,5622,2055,1.465684083595228,3.52561343090825
10000,0.0005,2,0,2322,5623,2055,1.465759350793783,3.52561343090825
10000,0.0005,2,0,2322,5622,2056,1.465834601000721,3.52561343090825
10000,0.0005,2,0,2321,5623,2056,1.465909856870679,3.52561343090825
10000,0.0005,2,0,2320,5624,2056,1.4659851410685258,3.52561343090825
10000,0.0005,2,0,2319,5625,2056,1.4660604536155961,3.52561343090825
10000,0.0005,2,0,2319,5624,2057,1.4661358058874672,3.52561343090825
10000,0.0005,2,0,2318,5625,2057,1.4662111751970843,3.52561343090825
10000,0.0005,2,0,2317,5626,2057,1.4662865729200731,3.52561343090825
10000,0.0005,2,0,2316,5627,2057,1.4663619763283071,3.52561343090825
10000,0.0005,2,0,2316,5626,2058,1.466437374051296,3.5198618307426783
10000,0.0005,2,0,2315,5627,2058,1.4665128002090875,3.5198618307426783
10000,0.0005,2,0,2314,5628,2058,1.4665882434380577,3.5198618307426783
10000,0.0005,2,0,2314,5627,2059,1.4666637037459358,3.5198618307426783
10000,0.0005,2,0,2313,5628,2059,1.4667391697485017,3.5198618307426783
10000,0.0005,2,0,2312,5629,2059,1.4668146300563798,3.5198618307426783
10000,0.0005,2,0,2311,5630,2059,1.4668901074509002,3.5198618307426783
10000,0.0005,2,0,2311,5629,2060,1.4669656475626995,3.5198618307426783
10000,0.0005,2,0,2311,5628,2061,1.4670412047973047,3.5198618307426783
10000,0.0005,2,0,2310,5629,2061,1.46711677916248,3.5198618307426783
10000,0.0005,2,0,2309,5630,2061,1.4671923478166022,3.518181818181792
10000,0.0005,2,0,2309,5629,2062,1.4672679107605346,3.518181818181792
10000,0.0005,2,0,2308,5630,2062,1.4673434908376264,3.518181818181792
10000,0.0005,2,0,2308,5629,2063,1.4674190880556488,3.518181818181792
10000,0.0005,2,0,2307,5630,2063,1.4674947024223786,3.518181818181792
10000,0.0005,2,0,2307,5629,2064,1.467570322507073,3.518181818181792
10000,0.0005,2,0,2307,5628,2065,1.4676459483105972,3.518181818181792
10000,0.0005,2,0,2306,5629,2065,1.4677215798338161,3.518181818181792
10000,0.0005,2,0,2305,5630,2065,1.467797239968491,3.518181818181792
10000,0.0005,2,0,2304,5631,2065,1.4678729058280553,3.518181818181792
10000,0.0005,2,0,2304,5630,2066,1.4679485430718342,3.518229166666643
10000,0.0005,2,0,2304,5629,2067,1.4680242203837761,3.518229166666643
10000,0.0005,2,0,2304,5628,2068,1.4680999148807863,3.518229166666643
10000,0.0005,2,0,2304,5627,2069,1.4681756151078869,3.518229166666643
10000,0.0005,2,0,2303,5628,2069,1.4682513210659458,3.518229166666643
10000,0.0005,2,0,2302,5629,2069,1.4683270098337327,3.518229166666643
10000,0.0005,2,0,2301,5630,2069,1.4684027272563116,3.518229166666643
10000,0.0005,2,0,2301,5629,2070,1.4684784504124528,3.518229166666643
10000,0.0005,2,0,2300,5630,2070,1.4685541907744917,3.518229166666643
10000,0.0005,2,0,2299,5631,2070,1.4686299828011704,3.518229166666643
10000,0.0005,2,0,2298,5632,2070,1.4687057920650624,3.515006524575887
10000,0.0005,2,0,2297,5633,2070,1.4687815955823456,3.515006524575887
10000,0.0005,2,0,2297,5632,2071,1.4688574393441962,3.515006524575887
10000,0.0005,2,0,2296,5633,2071,1.4689332888587594,3.515006524575887
10000,0.0005,2,0,2296,5632,2072,1.4690091556366973,3.515006524575887
10000,0.0005,2,0,2295,5633,2072,1.4690850281708399,3.515006524575887
10000,0.0005,2,0,2295,5632,2073,1.4691609179788387,3.515006524575887
10000,0.0005,2,0,2295,5631,2074,1.469236825068561,3.515006524575887
10000,0.0005,2,0,2294,5632,2074,1.4693127379206068,3.515006524575887
10000,0.0005,2,0,2293,5633,2074,1.469388645010329,3.515006524575887
10000,0.0005,2,0,2292,5634,2074,1.4694646039924788,3.5115569123418893
10000,0.0005,2,0,2292,5633,2075,1.4695405802878747,3.5115569123418893
10000,0.0005,2,0,2291,5634,2075,1.4696165854562262,3.5115569123418893
10000,0.0005,2,0,2290,5635,2075,1.4696926195194866,3.5115569123418893
10000,0.0005,2,0,2289,5636,2075,1.4697686593643653,3.5115569123418893
10000,0.0005,2,0,2288,5637,2075,1.4698447049917418,3.5115569123418893
10000,0.0005,2,0,2287,5638,2075,1.4699207679718893,3.5115569123418893
10000,0.0005,2,0,2287,5637,2076,1.4699968367380538,3.5115569123418893
