n,p,lambda,rho,s,i,r,t,mu,newmu
100000,5e-05,2,3,99931,62,7,0.7202001767030917,5.003002011346824,5
100000,5e-05,2,3,99931,62,7,0.7214393340760781,5.003002011346824,5
100000,5e-05,2,3,99931,61,8,0.7226862168690955,5.003002011346824,5
100000,5e-05,2,3,99930,62,8,0.7239424982761307,5.0030521059531985,5
100000,5e-05,2,3,99930,62,8,0.7251816556491171,5.0030521059531985,5
100000,5e-05,2,3,99930,62,8,0.7264285384421345,5.0030521059531985,5
100000,5e-05,2,3,99929,63,8,0.7276832435864256,5.0030521059531985,5
100000,5e-05,2,3,99928,64,8,0.7288909730550246,5.0030521059531985,5
100000,5e-05,2,3,99927,65,8,0.7300619332423782,5.0030521059531985,5
100000,5e-05,2,3,99926,66,8,0.731231523885653,5.0030521059531985,5
100000,5e-05,2,3,99926,66,8,0.7323665976654488,5.0030521059531985,5
100000,5e-05,2,3,99926,66,8,0.7335081501768643,5.0030521059531985,5
100000,5e-05,2,3,99925,67,8,0.7346562558025819,5.0030521059531985,5
100000,5e-05,2,3,99924,68,8,0.7357649032526927,5.003032274205127,5
100000,5e-05,2,3,99924,68,8,0.7368483268713276,5.003032274205127,5
100000,5e-05,2,3,99924,68,8,0.737937651490064,5.003032274205127,5
100000,5e-05,2,3,99924,68,8,0.7390329417419808,5.003032274205127,5
100000,5e-05,2,3,99924,68,8,0.7401342633278838,5.003032274205127,5
100000,5e-05,2,3,99924,68,8,0.7412416830399546,5.003032274205127,5
100000,5e-05,2,3,99924,68,8,0.7423552687860571,5.003032274205127,5
100000,5e-05,2,3,99924,68,8,0.7434750896147245,5.003032274205127,5
100000,5e-05,2,3,99923,69,8,0.7446012157408507,5.003032274205127,5
100000,5e-05,2,3,99923,69,8,0.7456893550226787,5.003032274205127,5
100000,5e-05,2,3,99922,70,8,0.7467834469263986,5.003072365725168,5
100000,5e-05,2,3,99922,70,8,0.747858715743603,5.003072365725168,5
100000,5e-05,2,3,99921,71,8,0.748939796824684,5.003072365725168,5
100000,5e-05,2,3,99920,72,8,0.7499858219292865,5.003072365725168,5
100000,5e-05,2,3,99919,73,8,0.7510146285136486,5.003072365725168,5
