n,p,lambda,rho,S
100000,5e-05,1,7.8,0.99997
100000,5e-05,1,5.4,0.9998
100000,5e-05,1,9.4,0.99999
100000,5e-05,1,2.4,0.99999
100000,5e-05,0.5,4,0.99999
100000,5e-05,0.7,4,0.99999
100000,5e-05,1.1,4,0.99999
100000,5e-05,3.3,4,0.02401
100000,5e-05,4.8,4,0.99999
100000,5e-05,8.6,4,0.01055
100000,5e-05,9.8,4,0.00976
100000,5e-05,4.4,4,0.016
100000,5e-05,5.4,4,0.01341
100000,5e-05,3.7,4,0.0196
100000,5e-05,0.8,4,0.99999
100000,5e-05,8.8,4,0.00982
100000,5e-05,4.2,4,0.01649
100000,5e-05,5.3,4,0.01376
100000,5e-05,8.6,4,0.00969
100000,5e-05,7.3,4,0.01064
100000,5e-05,6.7,4,0.01184
100000,5e-05,6.6,4,0.01157
100000,5e-05,3.1,4,0.02647
100000,5e-05,8.4,4,0.01033
100000,5e-05,4.7,4,0.01544
100000,5e-05,1.4,4,0.99997
100000,5e-05,1.0,4,0.99979
100000,5e-05,0.9,4,0.9998
100000,5e-05,1.0,4,0.99996
100000,5e-05,1.8,4,0.07422
100000,5e-05,6.5,4,0.99999
100000,5e-05,9.5,4,0.00926
100000,5e-05,7.5,4,0.01134
100000,5e-05,3.1,4,0.02579
100000,5e-05,5.8,4,0.013
100000,5e-05,6.7,4,0.01191
100000,5e-05,5.5,4,0.01311
100000,5e-05,0.1,4,0.99999
100000,5e-05,2.0,4,0.99999
100000,5e-05,8.1,4,0.01058
100000,5e-05,1.2,4,0.99995
100000,5e-05,4.3,4,0.01652
100000,5e-05,2.6,4,0.03271
100000,5e-05,1.6,4,0.99999
100000,5e-05,6.7,4,0.01138
100000,5e-05,4.6,4,0.0166
100000,5e-05,5.5,4,0.01354
100000,5e-05,2.3,4,0.04195
100000,5e-05,5.3,4,0.01328
100000,5e-05,1.9,4,0.06358
100000,5e-05,9.8,4,0.00882
100000,5e-05,5.2,4,0.01469
100000,5e-05,0.2,4,0.99999
100000,5e-05,5.5,4,0.01281
100000,5e-05,0.9,4,0.99999
100000,5e-05,6.6,4,0.01183
100000,5e-05,9.1,4,0.00959
100000,5e-05,1.1,4,0.99998
100000,5e-05,8.3,4,0.99998
100000,5e-05,3.8,4,0.0185
100000,5e-05,9.0,4,0.00957
100000,5e-05,0.1,4,0.99999
100000,5e-05,5.3,4,0.01427
100000,5e-05,8.2,4,0.01004
100000,5e-05,1.0,4,0.99995
100000,5e-05,2.6,4,0.0342
100000,5e-05,7.0,4,0.01096
100000,5e-05,6.5,4,0.99999
100000,5e-05,4.7,4,0.016
100000,5e-05,3.5,4,0.02005
100000,5e-05,2.5,4,0.03713
100000,5e-05,0.8,4,0.99999
100000,5e-05,4.6,4,0.99999
100000,5e-05,9.6,4,0.00912
100000,5e-05,7.1,4,0.99999
100000,5e-05,8.0,4,0.01038
100000,5e-05,10.0,4,0.00951
100000,5e-05,0.2,4,0.99999
100000,5e-05,2.1,4,0.99999
100000,5e-05,1.9,4,0.06398
100000,5e-05,1.8,4,0.07758
100000,5e-05,7.8,4,0.01057
100000,5e-05,5.1,4,0.01378
100000,5e-05,8.5,4,0.00951
100000,5e-05,8.0,4,0.01031
100000,5e-05,2.9,4,0.02888
100000,5e-05,9.4,4,0.00981
100000,5e-05,7.4,4,0.01081
100000,5e-05,5.7,4,0.01377
100000,5e-05,6.8,4,0.99999
100000,5e-05,4.9,4,0.01399
100000,5e-05,4.9,4,0.01535
100000,5e-05,7.5,4,0.01066
100000,5e-05,9.0,4,0.0101
100000,5e-05,1.8,4,0.99999
100000,5e-05,5.3,4,0.01394
100000,5e-05,4.6,4,0.0163
100000,5e-05,1.1,4,0.99997
100000,5e-05,0.2,4,0.99999
100000,5e-05,9.3,4,0.00982
100000,5e-05,9.4,4,0.0098
100000,5e-05,6.7,4,0.01155
