S,I,R,mu,t
0.7754345668333322,0.17388092944256525,0.050684503724102555,5.299633485410809,2.38
0.7687254061904558,0.17885128079101612,0.052423313018528206,5.307437258026195,2.39
0.7618901156348709,0.18389805853869118,0.054211825826438374,5.315318950289353,2.4
0.7549309802769896,0.18901821331118546,0.05605080641182528,5.323272094953156,2.41
0.7478505999629048,0.19420841149215845,0.057940988544937136,5.331289892630025,2.42
0.7406518937864028,0.19946503355373893,0.05988307265985872,5.339365227729606,2.43
0.7333381031418069,0.2047841738627973,0.06187772299539611,5.347490687067121,2.44
0.7259127932029977,0.21016164206297863,0.06392556473402408,5.355658581125771,2.45
0.7183798527220479,0.21559296612329865,0.06602718115465388,5.363860967924108,2.46
0.7107434920511541,0.22107339713295948,0.06818311081588686,5.372089679405241,2.47
0.7030082393039316,0.22659791590885223,0.07039384478721644,5.38033635022943,2.48
0.6951789345866833,0.23216124146701214,0.07265982394630496,5.388592448815801,2.49
0.6872607222468421,0.2377578413921835,0.0749814363609751,5.396849310443164,2.5
0.6792590411043287,0.24338194412077507,0.07735901477489693,5.405098172184953,2.51
0.6711796126518498,0.24902755313204572,0.07979283421610468,5.413330209419906,2.52
0.6630284272319696,0.25468846302060544,0.08228310974742513,5.421536573629059,2.53
0.6548117282218124,0.26035827740055667,0.0848299943776312,5.429708431161673,2.54
0.6465359942801772,0.2660304285681865,0.08743357715163676,5.437837002628612,2.55
0.6382079197362335,0.27169819882644825,0.09009388143731863,5.445913602562174,2.56
0.62983439322344,0.2773547433509773,0.09281086342558312,5.453929678967054,2.57
0.6214224746863899,0.28299311445451764,0.09558441085909289,5.461876852378496,2.58
0.6129793709114851,0.2886062870848772,0.09841434200363806,5.469746954041248,2.59
0.6045124097541701,0.2941871853713435,0.10130040487448683,5.477532062826863,2.6
0.5960290132554543,0.2997287100163458,0.10424227672820027,5.485224540517371,2.61
0.5875366698581578,0.30522376631347903,0.10723956382836373,5.492817065100347,2.62
0.579042905948297,0.31066529256020486,0.11029180149149852,5.500302661743588,2.63
0.5705552569589336,0.3160462886239661,0.11339845441710057,5.5076747311467935,2.64
0.5620812382823009,0.32135984441435933,0.11655891730334023,5.514927075002075,2.65
0.5536283162408899,0.3265991680116268,0.11977251574748381,5.522053918334285,2.66
0.5452038793692446,0.3317576132031558,0.12303850742760009,5.529049928535074,2.67
0.5368152102554147,0.33682870618495414,0.12635608355963165,5.535910230950482,2.68
0.5284694581843846,0.34180617119413464,0.12972437062148118,5.542630420929607,2.69
0.5201736128154398,0.3466839548511381,0.13314243233342252,5.549206572290569,2.7
0.511934479111554,0.35145624900651257,0.13660927188193392,5.555635242208398,2.71
